date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2/13/20 18:00,Drawitall,,0,0,0,@jamifloyd Diary of a Radio Junkie: 1545 Days of Waking Up to the News #HarveyWeinstein #HarveyWeinsteintrial #Rape #MeToo #JessicaMann #WilliamBarr #AGBillBarr #RogerStone #DepartmentofJustice #CanadaPipelines #NoPipeline #TyendinagaMohawk #CoronavirusOutbreak #China #Drawing,,@jamifloyd,#HarveyWeinstein #HarveyWeinsteintrial #Rape #MeToo #MeToo #JessicaMann #WilliamBarr #AGBillBarr #RogerStone #DepartmentofJustice #CanadaPipelines #NoPipeline #TyendinagaMohawk #CoronavirusOutbreak #China #Drawing,1.23E+18,https://twitter.com/Drawitall/status/1228016049171423232
2/13/20 18:00,whiteshadoe1488,,0,1,0,"Joe biden is trash. ""Lying, dog-faced pony soldier"" ëè As he takes off his jacket. tuff guy. you Need a Nap. #bully #MeToo #DeepStateCorruption #flatearth #savethechildren #awareness #nasawebb",,,#bully #MeToo #MeToo #DeepStateCorruption #flatearth #savethechildren #awareness #nasawebb,1.23E+18,https://twitter.com/whiteshadoe1488/status/1228016005659725824
2/13/20 17:59,Lou_IsSoCool,stillcham,0,0,0,Save what exactly??? ....Gayle had every opportunity to ask Kobe directly when he was alive....I don_Ñét know...maybe ask him LAST YEAR...when #metoo was jumping off at the Oscars....but no she didn_Ñét...and it not like he wasn_Ñét available for an interview with her,,,#metoo #metoo,1.23E+18,https://twitter.com/Lou_IsSoCool/status/1228015944926019584
2/13/20 17:59,goldenpoppy100,AffordableREI,1,0,1,"I absolutely think we should boycott @Etnow. You would think that especially after the #metoo movement, such abusive and harassing behavior would not be tolerated and given a platform. #MeghanMarkle #PrinceHarry #HarryAndMeghan",,@etnow,#metoo #metoo #MeghanMarkle #PrinceHarry #HarryAndMeghan,1.23E+18,https://twitter.com/goldenpoppy100/status/1228015874939817984
2/13/20 17:59,GABRIELSODI,medina764,0,0,0,#metoo,,,#metoo #metoo,1.23E+18,https://twitter.com/GABRIELSODI/status/1228015812595920896
2/13/20 17:58,KadampaMyth,,0,0,0,"""allegations began to surface on the internet that Samden Gyatso had been engaging in sexual acts with a number of women over a considerable period of time [...] despite having full knowledge of this, Kelsang Gyatso had failed to act"" #Kadampa #MeToo ",,,#Kadampa #MeToo #MeToo,1.23E+18,https://twitter.com/KadampaMyth/status/1228015671340081153
2/13/20 17:58,JerryMorton,cjharrispretzer,0,0,0,#MeToo! ,,,#MeToo #MeToo,1.23E+18,https://twitter.com/JerryMorton/status/1228015621872521218
2/13/20 17:58,AlbertitoEinst1,manueltb,0,1,1,#MeToo #Sororidad,,,#MeToo #MeToo #Sororidad,1.23E+18,https://twitter.com/AlbertitoEinst1/status/1228015555073990656
2/13/20 17:58,ElisabethNofer,,0,0,0,We agree that consent is necessary #metoo right? So what about consent online &amp; #datatracking? Only a fraction of UK's websites meet #GDPR requirements for #cookies: https://bit.ly/31XxJQf #lightbeam: Google #Chrome announced to restrict 3rd party cookies,,,#metoo #metoo #datatracking #GDPR #cookies #lightbeam #Chrome,1.23E+18,https://twitter.com/ElisabethNofer/status/1228015510232731648
2/13/20 17:57,jshnlsn,SuperMarilink,0,0,0,#same #metoo,,,#same #metoo #metoo,1.23E+18,https://twitter.com/jshnlsn/status/1228015449234739201
2/13/20 17:57,GuyCox42630817,michael73uk,0,0,1,#metoo,,,#metoo #metoo,1.23E+18,https://twitter.com/GuyCox42630817/status/1228015334470438913
