date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-13 17:49:13,taraadevlin,,1,0,3,"Hmm. 10 TV shows to know me: Xena Buffy The Tribe Lexx X-Men: TAS The Simpsons Married With Children Game of Thrones Battlestar Galactica (remake) Majisuka Gakuen",,,,1228013271569125378,https://twitter.com/taraadevlin/status/1228013271569125378
2020-02-13 17:49:06,_laurenjudge_,,0,0,1,"5 tv shows to get to know me: Parks and Rec Stranger Things Buffy the Vampire Slayer Doctor Who Mystery Science Theater 3000",,,,1228013241256861702,https://twitter.com/_laurenjudge_/status/1228013241256861702
2020-02-13 17:48:59,NotGeauxGabby,,2,1,9,"Pray for me yall because I gotta do a presentation I JUST learned about and made a quick PowerPoint on the fly about data Idek about forreal ",,,,1228013212731351047,https://twitter.com/NotGeauxGabby/status/1228013212731351047
2020-02-13 17:48:55,babecicada,SimplySara__,1,0,0,"Dude you’re tripping. I’m genuinely confused why you’re coming for me.",,,,1228013193940717569,https://twitter.com/babecicada/status/1228013193940717569
2020-02-13 17:48:48,XinkblotsX,,2,0,0,"5 Shows to get to know me: Buffy The Vampire Slayer Friends Kids in The Hall Original Twilight Zone Read All About It",,,,1228013165914607616,https://twitter.com/XinkblotsX/status/1228013165914607616
2020-02-13 17:48:47,neomailme,,0,0,2,"Hottest take is that Buffy’s tragic love life coulda been resolved with some Buffy/Willow !!!!",,,,1228013158666661893,https://twitter.com/neomailme/status/1228013158666661893
2020-02-13 17:48:31,BuffyBlogs,cindynorth1,0,0,2,"*Buffy swoons*",,,,1228013092652638209,https://twitter.com/BuffyBlogs/status/1228013092652638209
2020-02-13 17:48:20,gringapendeja,,0,0,3,"5 tv shows to watch to get to know me: 1. buffy 2. russian doll 3. freaks and geeks 4. viva la bam 5. how the states got their shapes i tag @arualnatalia @jakechillenhaaI @aeonfluxed @notgivenchyass",,@arualnatalia @jakechillenhaaI @aeonfluxed @notgivenchyass,,1228013045546471424,https://twitter.com/gringapendeja/status/1228013045546471424
2020-02-13 17:47:55,kissycatclaw,ChasingHorses,0,0,3,"Has one of the best ""cut to"" shots of the series. ""We're not worried"" to Willow in Buffy's room surrounded by garlic and both holding stakes.",,,,1228012943113117696,https://twitter.com/kissycatclaw/status/1228012943113117696
2020-02-13 17:47:48,BuffyBlogs,Quiara,1,0,3,"Speak for yourself.",,,,1228012910963650561,https://twitter.com/BuffyBlogs/status/1228012910963650561
